order_id,customer_id,order_date,channel,branch_name,state
42,1186,2025-02-25,Online,Miami Store,Florida
43,1033,2025-01-08,In-Store,Los Angeles Store,California
44,2108,2025-08-07,In-Store,Los Angeles Store,California
45,1841,2024-06-05,In-Store,San Francisco Store,California
46,225,2024-05-03,In-Store,Houston Store,Texas
47,1843,2024-02-01,In-Store,San Francisco Store,California
48,582,2025-06-14,Online,San Francisco Store,California
49,169,2023-12-21,In-Store,Los Angeles Store,California
50,1466,2025-08-04,In-Store,Miami Store,Florida
51,14,2023-10-15,Online,Miami Store,Florida
52,2212,2025-09-24,In-Store,Los Angeles Store,California
53,1444,2024-06-19,Online,Miami Store,Florida
54,1871,2025-04-30,In-Store,San Francisco Store,California
55,1544,2025-04-17,Online,Houston Store,Texas
56,1690,2023-06-17,In-Store,Los Angeles Store,California
57,1572,2025-08-07,In-Store,Houston Store,Texas
58,1052,2024-09-12,Online,Miami Store,Florida
59,1732,2024-03-03,Online,Houston Store,Texas
60,446,2024-05-04,Online,Miami Store,Florida
61,716,2023-12-21,Online,Miami Store,Florida
62,819,2023-07-15,Online,San Francisco Store,California
63,2152,2024-06-28,Online,Miami Store,Florida
64,426,2024-12-17,Online,San Francisco Store,California
65,1125,2025-04-03,Online,San Francisco Store,California
66,1565,2025-07-20,In-Store,San Francisco Store,California
67,850,2025-09-29,In-Store,Los Angeles Store,California
68,1546,2024-10-20,Online,Los Angeles Store,California
69,1130,2025-07-27,In-Store,Miami Store,Florida
70,1703,2025-02-18,In-Store,San Francisco Store,California
71,2002,2023-01-11,In-Store,Los Angeles Store,California
72,277,2024-01-31,In-Store,San Francisco Store,California
73,1807,2024-12-31,Online,Houston Store,Texas
74,2236,2024-02-13,In-Store,Houston Store,Texas
75,1940,2023-12-28,Online,Houston Store,Texas
76,2153,2025-10-23,In-Store,Miami Store,Florida
77,546,2023-03-25,In-Store,San Francisco Store,California
78,2428,2023-06-05,In-Store,Houston Store,Texas
79,110,2024-12-07,Online,Los Angeles Store,California
80,545,2024-04-16,In-Store,Houston Store,Texas
81,2402,2024-09-10,Online,Houston Store,Texas
82,743,2023-05-14,In-Store,Houston Store,Texas
83,2365,2025-02-26,Online,Miami Store,Florida
84,1290,2025-06-25,In-Store,Los Angeles Store,California
85,1876,2025-05-13,Online,San Francisco Store,California
86,1089,2024-10-28,Online,Los Angeles Store,California
87,333,2023-10-04,In-Store,San Francisco Store,California
88,1537,2025-05-31,Online,Miami Store,Florida
89,1157,2023-01-13,In-Store,Miami Store,Florida
90,592,2023-12-08,In-Store,Miami Store,Florida
91,783,2023-02-04,In-Store,Miami Store,Florida
92,540,2024-07-12,In-Store,San Francisco Store,California
93,1559,2024-02-09,In-Store,Houston Store,Texas
94,1520,2024-10-19,In-Store,San Francisco Store,California
95,619,2023-06-08,In-Store,Los Angeles Store,California
96,1834,2025-08-13,In-Store,Miami Store,Florida
97,992,2024-07-02,In-Store,Miami Store,Florida
98,2147,2025-09-11,In-Store,Los Angeles Store,California
99,2365,2023-10-06,In-Store,San Francisco Store,California
100,2171,2024-04-23,Online,Houston Store,Texas
101,1617,2023-04-21,Online,Houston Store,Texas
102,1519,2024-03-06,In-Store,Los Angeles Store,California
103,522,2024-06-25,In-Store,Houston Store,Texas
104,917,2023-12-26,In-Store,San Francisco Store,California
105,717,2024-01-07,In-Store,San Francisco Store,California
106,2363,2025-11-04,In-Store,Los Angeles Store,California
107,1937,2025-08-12,In-Store,San Francisco Store,California
108,560,2023-09-16,In-Store,Miami Store,Florida
109,969,2025-02-16,In-Store,Los Angeles Store,California
110,2404,2023-04-30,Online,San Francisco Store,California
111,1078,2025-09-02,In-Store,Los Angeles Store,California
112,890,2025-07-01,Online,Houston Store,Texas
113,793,2024-12-23,In-Store,San Francisco Store,California
114,2313,2024-06-06,In-Store,Miami Store,Florida
115,982,2023-11-21,Online,San Francisco Store,California
116,802,2025-12-09,In-Store,Los Angeles Store,California
117,43,2023-03-10,Online,Los Angeles Store,California
118,1610,2024-01-26,In-Store,San Francisco Store,California
119,1778,2024-01-18,In-Store,Miami Store,Florida
120,350,2023-01-16,Online,Miami Store,Florida
121,1568,2025-04-25,In-Store,Miami Store,Florida
122,1130,2025-05-18,Online,Los Angeles Store,California
123,2049,2024-07-21,In-Store,San Francisco Store,California
124,1781,2023-05-12,Online,Houston Store,Texas
125,584,2023-09-30,Online,Los Angeles Store,California
126,432,2024-04-28,In-Store,Miami Store,Florida
127,1933,2024-07-03,In-Store,San Francisco Store,California
128,2101,2023-12-23,Online,Miami Store,Florida
129,1349,2025-12-07,In-Store,Houston Store,Texas
130,2195,2025-10-30,In-Store,Miami Store,Florida
131,2031,2023-08-21,In-Store,Miami Store,Florida
132,1190,2023-02-05,Online,Houston Store,Texas
133,1163,2024-02-17,Online,San Francisco Store,California
134,299,2025-10-24,Online,Los Angeles Store,California
135,1940,2023-02-13,Online,San Francisco Store,California
136,789,2024-07-21,Online,Houston Store,Texas
137,850,2025-01-09,Online,Miami Store,Florida
138,2226,2023-04-24,Online,San Francisco Store,California
139,1378,2024-02-01,Online,Los Angeles Store,California
140,1178,2024-04-10,Online,Houston Store,Texas
141,1950,2025-04-26,In-Store,San Francisco Store,California
142,878,2024-05-16,Online,Los Angeles Store,California
143,1139,2024-03-16,In-Store,Houston Store,Texas
144,1578,2023-03-10,In-Store,Los Angeles Store,California
145,2493,2023-11-22,In-Store,Houston Store,Texas
146,1647,2023-03-08,Online,Miami Store,Florida
147,1904,2023-10-31,Online,San Francisco Store,California
148,1383,2025-08-29,Online,Los Angeles Store,California
149,145,2024-04-28,Online,Houston Store,Texas
150,2323,2025-07-17,In-Store,Los Angeles Store,California
151,1203,2023-05-29,Online,Los Angeles Store,California
152,1862,2025-11-16,Online,San Francisco Store,California
153,1855,2025-09-13,Online,Miami Store,Florida
154,1867,2024-08-06,Online,Los Angeles Store,California
155,1099,2023-09-05,Online,Houston Store,Texas
156,1152,2024-12-02,In-Store,Houston Store,Texas
157,1735,2023-04-06,Online,Miami Store,Florida
158,568,2023-10-09,In-Store,Houston Store,Texas
159,1814,2023-11-18,Online,Miami Store,Florida
160,531,2024-06-12,In-Store,Houston Store,Texas
161,2207,2023-09-20,Online,San Francisco Store,California
162,1562,2024-08-02,Online,Los Angeles Store,California
163,681,2023-10-21,In-Store,San Francisco Store,California
164,2071,2024-01-30,In-Store,Los Angeles Store,California
165,1071,2024-05-27,In-Store,Los Angeles Store,California
166,729,2025-07-09,Online,Los Angeles Store,California
167,1730,2025-03-20,In-Store,San Francisco Store,California
168,2192,2025-07-08,Online,Los Angeles Store,California
169,668,2024-11-23,Online,San Francisco Store,California
170,1613,2023-08-23,In-Store,Miami Store,Florida
171,681,2025-08-09,In-Store,Houston Store,Texas
172,973,2025-10-28,Online,Houston Store,Texas
173,2133,2024-06-22,Online,Los Angeles Store,California
174,2464,2025-03-30,In-Store,San Francisco Store,California
175,827,2023-09-29,In-Store,Houston Store,Texas
176,297,2025-10-25,In-Store,San Francisco Store,California
177,1254,2024-08-15,Online,San Francisco Store,California
178,2426,2025-09-02,Online,Los Angeles Store,California
179,2469,2023-04-25,Online,Houston Store,Texas
180,2153,2023-09-20,Online,Los Angeles Store,California
181,1729,2023-07-26,Online,Los Angeles Store,California
182,2025,2023-10-30,Online,Houston Store,Texas
183,330,2023-04-22,In-Store,Houston Store,Texas
184,2487,2023-07-04,Online,Miami Store,Florida
185,1156,2025-06-19,Online,Miami Store,Florida
186,1891,2023-08-09,Online,San Francisco Store,California
187,382,2025-12-29,In-Store,Houston Store,Texas
188,2186,2025-06-16,Online,Miami Store,Florida
189,843,2025-12-29,Online,San Francisco Store,California
190,2318,2024-09-13,In-Store,San Francisco Store,California
191,396,2024-03-02,Online,San Francisco Store,California
192,450,2024-10-05,Online,Miami Store,Florida
193,1355,2024-07-21,Online,Houston Store,Texas
194,1987,2024-03-18,Online,Los Angeles Store,California
195,1309,2024-08-23,Online,San Francisco Store,California
196,1298,2024-05-18,In-Store,Miami Store,Florida
197,2068,2023-05-11,In-Store,Miami Store,Florida
198,2287,2023-08-06,In-Store,Los Angeles Store,California
199,1294,2024-11-18,Online,Los Angeles Store,California
200,2466,2023-06-20,Online,Miami Store,Florida
201,1850,2024-09-03,Online,Houston Store,Texas
202,186,2025-09-18,In-Store,Los Angeles Store,California
203,1234,2023-02-26,Online,Miami Store,Florida
204,1438,2023-09-03,Online,Los Angeles Store,California
205,253,2023-05-24,In-Store,Houston Store,Texas
206,19,2025-12-10,Online,San Francisco Store,California
207,1160,2024-01-03,In-Store,Los Angeles Store,California
208,223,2023-08-06,In-Store,Houston Store,Texas
209,3,2024-09-07,In-Store,Miami Store,Florida
210,1260,2024-03-17,Online,Los Angeles Store,California
211,854,2025-04-20,Online,Los Angeles Store,California
212,1489,2025-08-13,Online,Miami Store,Florida
213,228,2024-11-29,Online,San Francisco Store,California
214,1678,2025-05-25,Online,Miami Store,Florida
215,499,2025-02-14,Online,Los Angeles Store,California
216,1886,2025-01-31,Online,Miami Store,Florida
217,2016,2025-08-02,In-Store,Houston Store,Texas
218,1163,2025-07-11,Online,Miami Store,Florida
219,1300,2025-07-23,In-Store,Los Angeles Store,California
220,2339,2023-01-25,Online,Miami Store,Florida
221,1077,2025-03-16,Online,San Francisco Store,California
222,715,2025-02-02,Online,Miami Store,Florida
223,948,2025-12-19,In-Store,San Francisco Store,California
224,870,2024-03-09,In-Store,Houston Store,Texas
225,1071,2025-05-28,In-Store,San Francisco Store,California
226,94,2025-12-25,In-Store,Miami Store,Florida
227,560,2025-06-28,Online,Los Angeles Store,California
228,1776,2024-07-18,In-Store,San Francisco Store,California
229,2261,2023-04-16,Online,Houston Store,Texas
230,436,2023-04-06,Online,San Francisco Store,California
231,852,2023-06-17,In-Store,San Francisco Store,California
232,205,2023-02-11,In-Store,San Francisco Store,California
233,2429,2023-04-14,In-Store,Houston Store,Texas
234,1100,2024-06-03,In-Store,Miami Store,Florida
235,77,2023-10-09,In-Store,San Francisco Store,California
236,816,2025-12-02,In-Store,San Francisco Store,California
237,768,2025-08-04,In-Store,Los Angeles Store,California
238,2458,2025-01-18,In-Store,Houston Store,Texas
239,106,2025-04-10,Online,San Francisco Store,California
240,2136,2023-02-18,In-Store,Houston Store,Texas
241,1747,2023-04-25,In-Store,San Francisco Store,California
242,1466,2024-05-17,Online,Miami Store,Florida
243,245,2025-09-12,In-Store,Miami Store,Florida
244,1406,2023-03-12,Online,San Francisco Store,California
245,982,2025-10-08,Online,Miami Store,Florida
246,1737,2023-03-08,In-Store,San Francisco Store,California
247,142,2025-08-24,Online,Miami Store,Florida
248,893,2023-06-30,Online,Los Angeles Store,California
249,1392,2024-09-04,Online,Los Angeles Store,California
250,2400,2024-11-27,Online,Los Angeles Store,California
251,545,2024-08-25,In-Store,Houston Store,Texas
252,2200,2023-09-05,Online,Houston Store,Texas
253,1470,2023-12-25,In-Store,Los Angeles Store,California
254,763,2023-09-06,Online,Houston Store,Texas
255,624,2024-09-29,Online,Miami Store,Florida
256,656,2025-08-07,Online,San Francisco Store,California
257,2498,2024-10-24,Online,San Francisco Store,California
258,1248,2023-06-25,In-Store,San Francisco Store,California
259,43,2024-12-23,In-Store,Los Angeles Store,California
260,2312,2024-03-01,Online,Houston Store,Texas
261,1027,2025-02-09,Online,Miami Store,Florida
262,1661,2024-12-03,In-Store,Miami Store,Florida
263,1292,2023-03-22,Online,Los Angeles Store,California
264,596,2025-07-15,Online,Miami Store,Florida
265,1013,2023-05-18,Online,Miami Store,Florida
266,2225,2024-04-14,In-Store,Miami Store,Florida
267,2111,2023-12-16,In-Store,Miami Store,Florida
268,958,2023-11-06,In-Store,Houston Store,Texas
269,561,2025-11-09,Online,Miami Store,Florida
270,1331,2025-09-28,Online,San Francisco Store,California
271,1313,2023-09-26,In-Store,Los Angeles Store,California
272,1822,2025-10-23,In-Store,Houston Store,Texas
273,1551,2025-02-08,In-Store,Miami Store,Florida
274,850,2023-01-16,In-Store,Houston Store,Texas
275,1279,2024-08-28,Online,Miami Store,Florida
276,1534,2025-03-23,In-Store,San Francisco Store,California
277,1815,2024-04-26,Online,Los Angeles Store,California
278,1742,2025-06-13,In-Store,Miami Store,Florida
279,606,2023-09-26,Online,Miami Store,Florida
280,1487,2024-02-18,In-Store,Miami Store,Florida
281,1295,2023-01-25,In-Store,Miami Store,Florida
282,746,2023-11-12,In-Store,Los Angeles Store,California
283,558,2024-07-24,In-Store,Los Angeles Store,California
284,2112,2024-12-25,Online,San Francisco Store,California
285,942,2025-10-04,In-Store,Los Angeles Store,California
286,2297,2024-01-24,Online,Miami Store,Florida
287,1270,2024-12-22,Online,San Francisco Store,California
288,940,2024-03-19,Online,San Francisco Store,California
289,1611,2025-09-25,Online,San Francisco Store,California
290,2205,2025-12-16,In-Store,Miami Store,Florida
291,1726,2024-11-27,Online,Houston Store,Texas
292,985,2025-08-28,Online,Miami Store,Florida
293,1588,2024-12-21,Online,Los Angeles Store,California
294,1337,2024-01-03,In-Store,Los Angeles Store,California
295,1875,2023-12-08,In-Store,Miami Store,Florida
296,662,2023-10-31,In-Store,Miami Store,Florida
297,33,2025-02-02,In-Store,San Francisco Store,California
298,1817,2025-03-26,Online,Miami Store,Florida
299,2121,2023-04-22,Online,San Francisco Store,California
300,1890,2025-05-27,In-Store,Los Angeles Store,California
301,1157,2025-10-26,Online,San Francisco Store,California
302,61,2025-07-18,Online,Miami Store,Florida
303,1544,2024-12-03,Online,Los Angeles Store,California
304,272,2025-04-25,In-Store,Houston Store,Texas
305,2294,2025-08-01,In-Store,San Francisco Store,California
306,1200,2023-10-06,Online,Los Angeles Store,California
307,1807,2024-01-17,In-Store,San Francisco Store,California
308,1155,2023-01-13,In-Store,Los Angeles Store,California
309,1126,2023-10-30,In-Store,Los Angeles Store,California
310,310,2023-06-09,In-Store,San Francisco Store,California
311,1316,2023-06-03,In-Store,Houston Store,Texas
312,1746,2025-01-23,Online,Los Angeles Store,California
313,338,2023-06-30,In-Store,Los Angeles Store,California
314,10,2024-01-12,Online,Los Angeles Store,California
315,49,2025-02-14,Online,Houston Store,Texas
316,1511,2023-01-16,In-Store,Houston Store,Texas
317,1345,2023-09-10,Online,Miami Store,Florida
318,731,2025-12-19,Online,San Francisco Store,California
319,795,2023-01-31,Online,Houston Store,Texas
320,1649,2025-11-10,In-Store,San Francisco Store,California
321,133,2024-12-31,In-Store,Miami Store,Florida
322,2131,2023-10-16,Online,San Francisco Store,California
323,2105,2024-05-12,In-Store,Houston Store,Texas
324,376,2024-07-01,In-Store,San Francisco Store,California
325,2397,2025-08-18,In-Store,Houston Store,Texas
326,271,2023-05-12,In-Store,San Francisco Store,California
327,1507,2025-05-07,Online,Houston Store,Texas
328,2159,2024-06-04,Online,Houston Store,Texas
329,76,2023-01-30,In-Store,San Francisco Store,California
330,1957,2024-09-18,In-Store,Miami Store,Florida
331,1667,2023-01-04,Online,Los Angeles Store,California
332,329,2024-05-23,Online,Miami Store,Florida
333,2170,2023-01-16,In-Store,San Francisco Store,California
334,41,2025-09-23,Online,Miami Store,Florida
335,1191,2025-08-13,In-Store,Houston Store,Texas
336,2327,2023-09-20,In-Store,Los Angeles Store,California
337,2057,2025-12-24,Online,San Francisco Store,California
338,13,2023-09-22,Online,San Francisco Store,California
339,924,2024-01-13,In-Store,San Francisco Store,California
340,1843,2025-08-20,In-Store,Los Angeles Store,California
341,1233,2024-04-20,Online,Houston Store,Texas
342,1215,2023-11-25,In-Store,San Francisco Store,California
343,653,2024-03-13,Online,Miami Store,Florida
344,1704,2023-01-16,In-Store,San Francisco Store,California
345,621,2025-05-17,Online,San Francisco Store,California
346,1963,2024-05-25,Online,San Francisco Store,California
347,1646,2025-09-10,Online,San Francisco Store,California
348,2244,2024-08-03,In-Store,Houston Store,Texas
349,417,2023-01-06,In-Store,Miami Store,Florida
350,664,2025-10-15,Online,Houston Store,Texas
351,1779,2025-03-17,In-Store,Miami Store,Florida
352,1380,2024-09-10,Online,San Francisco Store,California
353,148,2024-02-09,Online,Los Angeles Store,California
354,2046,2025-09-23,In-Store,Houston Store,Texas
355,1389,2024-08-16,In-Store,Los Angeles Store,California
356,2412,2024-07-19,Online,Houston Store,Texas
357,1726,2025-01-21,In-Store,San Francisco Store,California
358,402,2023-01-12,In-Store,Houston Store,Texas
359,1516,2023-06-14,Online,San Francisco Store,California
360,2032,2025-05-27,Online,Houston Store,Texas
361,229,2023-03-19,In-Store,San Francisco Store,California
362,1599,2024-09-05,Online,San Francisco Store,California
363,268,2025-05-18,Online,Miami Store,Florida
364,1429,2025-03-22,In-Store,San Francisco Store,California
365,1817,2025-12-07,Online,Miami Store,Florida
366,1035,2025-02-05,Online,San Francisco Store,California
367,1344,2023-03-23,In-Store,Los Angeles Store,California
368,126,2023-07-28,In-Store,San Francisco Store,California
369,2354,2024-06-05,Online,Los Angeles Store,California
370,1726,2025-11-18,Online,Los Angeles Store,California
371,1113,2025-09-20,In-Store,San Francisco Store,California
372,1376,2024-04-09,In-Store,Los Angeles Store,California
373,689,2024-09-19,In-Store,Miami Store,Florida
374,1281,2025-02-19,In-Store,Houston Store,Texas
375,1233,2024-07-12,Online,San Francisco Store,California
376,281,2025-08-17,In-Store,Los Angeles Store,California
377,443,2023-04-01,In-Store,San Francisco Store,California
378,1864,2025-12-12,Online,Miami Store,Florida
379,837,2025-05-09,In-Store,San Francisco Store,California
380,389,2024-07-09,Online,San Francisco Store,California
381,617,2023-06-05,In-Store,Los Angeles Store,California
382,147,2023-01-02,In-Store,Miami Store,Florida
383,521,2025-04-04,In-Store,Houston Store,Texas
384,630,2025-03-12,Online,Houston Store,Texas
385,2482,2025-09-09,Online,Los Angeles Store,California
386,2192,2025-12-17,In-Store,San Francisco Store,California
387,289,2024-05-07,Online,Los Angeles Store,California
388,1410,2024-10-30,Online,Los Angeles Store,California
389,14,2025-11-24,Online,Los Angeles Store,California
390,257,2023-03-16,Online,San Francisco Store,California
391,1722,2025-08-01,Online,Miami Store,Florida
392,1424,2024-01-06,Online,Los Angeles Store,California
393,1231,2024-08-09,In-Store,San Francisco Store,California
394,858,2023-11-25,In-Store,Miami Store,Florida
395,1196,2024-08-12,Online,Los Angeles Store,California
396,464,2025-02-15,In-Store,Houston Store,Texas
397,270,2023-10-31,In-Store,Miami Store,Florida
398,1245,2024-08-01,In-Store,Los Angeles Store,California
399,1207,2023-08-09,In-Store,Miami Store,Florida
400,72,2025-09-05,Online,Miami Store,Florida
401,1307,2024-01-10,In-Store,Miami Store,Florida
402,2122,2023-07-07,In-Store,Miami Store,Florida
403,2403,2024-04-18,Online,Miami Store,Florida
404,1751,2025-04-23,Online,Miami Store,Florida
405,497,2024-06-14,In-Store,Los Angeles Store,California
406,988,2025-12-06,In-Store,Houston Store,Texas
407,910,2025-12-24,In-Store,San Francisco Store,California
408,373,2025-08-20,In-Store,Miami Store,Florida
409,362,2024-04-19,In-Store,San Francisco Store,California
410,2141,2025-08-03,In-Store,Los Angeles Store,California
411,1345,2025-12-25,Online,Miami Store,Florida
412,324,2024-05-31,In-Store,Houston Store,Texas
413,2432,2024-03-01,In-Store,San Francisco Store,California
414,575,2023-05-13,Online,Miami Store,Florida
415,736,2023-11-10,Online,Los Angeles Store,California
416,2394,2024-08-13,Online,Houston Store,Texas
417,1216,2025-10-05,Online,San Francisco Store,California
418,1696,2023-06-08,In-Store,San Francisco Store,California
419,1908,2024-10-22,In-Store,Miami Store,Florida
420,719,2025-01-17,In-Store,Houston Store,Texas
421,781,2025-03-11,In-Store,Houston Store,Texas
422,1020,2024-02-14,In-Store,Houston Store,Texas
423,1404,2024-11-10,In-Store,Houston Store,Texas
424,1427,2023-04-24,Online,Los Angeles Store,California
425,664,2025-06-15,In-Store,Houston Store,Texas
426,1773,2025-12-14,Online,San Francisco Store,California
427,11,2023-03-06,Online,San Francisco Store,California
428,2235,2024-11-14,In-Store,Los Angeles Store,California
429,1039,2023-05-26,Online,San Francisco Store,California
430,2459,2025-07-31,In-Store,San Francisco Store,California
431,585,2025-10-30,Online,Houston Store,Texas
432,1076,2025-01-08,In-Store,San Francisco Store,California
433,1375,2023-07-05,Online,Los Angeles Store,California
434,1452,2025-04-14,In-Store,Houston Store,Texas
435,1855,2025-03-19,In-Store,Miami Store,Florida
436,1790,2023-06-20,In-Store,Houston Store,Texas
437,743,2023-08-01,In-Store,Los Angeles Store,California
438,1777,2023-01-27,In-Store,Houston Store,Texas
439,204,2025-10-10,Online,Houston Store,Texas
440,1077,2025-12-27,Online,Los Angeles Store,California
441,974,2025-02-28,Online,Houston Store,Texas
442,1399,2024-02-12,In-Store,Los Angeles Store,California
443,1866,2023-03-15,Online,Los Angeles Store,California
444,1300,2024-07-31,In-Store,Miami Store,Florida
445,1055,2024-11-10,In-Store,San Francisco Store,California
446,1159,2025-02-24,Online,San Francisco Store,California
447,105,2025-04-28,Online,Houston Store,Texas
448,253,2025-05-19,In-Store,Houston Store,Texas
449,295,2023-08-25,Online,Miami Store,Florida
450,1182,2024-12-27,In-Store,Miami Store,Florida
451,549,2024-01-13,In-Store,Miami Store,Florida
452,1778,2024-10-22,In-Store,Los Angeles Store,California
453,299,2025-04-09,In-Store,Miami Store,Florida
454,1749,2025-06-24,In-Store,Miami Store,Florida
455,1844,2024-01-11,Online,Houston Store,Texas
456,101,2024-09-10,Online,Miami Store,Florida
457,2380,2024-10-14,In-Store,Los Angeles Store,California
458,1775,2025-10-29,In-Store,Los Angeles Store,California
459,2441,2023-07-15,Online,Houston Store,Texas
460,874,2025-03-17,Online,Miami Store,Florida
461,2429,2025-06-11,In-Store,Miami Store,Florida
462,92,2025-12-20,Online,Los Angeles Store,California
463,447,2025-07-25,In-Store,Miami Store,Florida
464,109,2025-04-26,Online,Miami Store,Florida
465,317,2025-03-28,In-Store,Miami Store,Florida
466,1836,2024-07-17,Online,San Francisco Store,California
467,1944,2024-09-25,In-Store,Houston Store,Texas
468,1459,2024-11-09,Online,San Francisco Store,California
469,442,2025-10-14,Online,Houston Store,Texas
470,2266,2023-01-08,In-Store,Los Angeles Store,California
471,1246,2025-12-04,Online,Miami Store,Florida
472,1552,2023-12-10,In-Store,Houston Store,Texas
473,278,2025-03-06,Online,San Francisco Store,California
474,569,2025-11-16,In-Store,Miami Store,Florida
475,1010,2025-04-28,Online,Los Angeles Store,California
476,839,2023-03-03,In-Store,Houston Store,Texas
477,1608,2025-12-21,Online,Houston Store,Texas
478,30,2024-02-26,In-Store,Houston Store,Texas
479,2407,2024-09-24,Online,Miami Store,Florida
480,1943,2025-03-02,In-Store,San Francisco Store,California
481,2134,2024-07-04,In-Store,San Francisco Store,California
482,1258,2024-08-28,In-Store,Houston Store,Texas
483,2361,2024-06-08,Online,Los Angeles Store,California
484,365,2025-06-17,In-Store,Los Angeles Store,California
485,1801,2023-06-12,Online,San Francisco Store,California
486,1823,2025-02-25,In-Store,Los Angeles Store,California
487,1863,2025-06-28,Online,San Francisco Store,California
488,905,2025-09-08,In-Store,Houston Store,Texas
489,698,2024-01-14,Online,San Francisco Store,California
490,2179,2023-06-22,Online,San Francisco Store,California
491,1856,2025-09-26,In-Store,Houston Store,Texas
492,351,2023-03-05,Online,Los Angeles Store,California
493,180,2025-09-01,Online,San Francisco Store,California
494,1504,2023-03-07,In-Store,San Francisco Store,California
495,1187,2024-04-02,Online,Houston Store,Texas
496,1807,2024-03-28,Online,Los Angeles Store,California
497,774,2025-09-05,Online,San Francisco Store,California
498,510,2023-06-27,In-Store,Houston Store,Texas
499,365,2023-10-07,Online,San Francisco Store,California
500,353,2023-12-10,In-Store,Miami Store,Florida
501,1107,2025-11-06,Online,Houston Store,Texas
502,1249,2023-10-23,Online,Los Angeles Store,California
503,412,2023-07-21,Online,Los Angeles Store,California
504,735,2025-08-19,In-Store,Los Angeles Store,California
505,118,2024-11-14,Online,Los Angeles Store,California
506,482,2024-01-10,Online,San Francisco Store,California
507,192,2023-02-04,In-Store,San Francisco Store,California
508,107,2023-01-29,Online,Los Angeles Store,California
509,382,2025-02-13,In-Store,Los Angeles Store,California
510,783,2023-08-09,In-Store,Los Angeles Store,California
511,2438,2023-02-22,Online,San Francisco Store,California
512,244,2025-03-01,In-Store,Los Angeles Store,California
513,468,2023-03-17,Online,Los Angeles Store,California
514,866,2024-05-08,In-Store,Miami Store,Florida
515,1562,2023-04-27,In-Store,Miami Store,Florida
516,1234,2023-10-07,Online,Los Angeles Store,California
517,604,2025-01-15,In-Store,Houston Store,Texas
518,1661,2025-08-06,In-Store,Los Angeles Store,California
519,1097,2025-02-02,In-Store,Miami Store,Florida
520,2016,2023-10-22,In-Store,Houston Store,Texas
521,1659,2025-10-14,In-Store,Houston Store,Texas
522,1734,2025-11-10,Online,Los Angeles Store,California
523,1614,2025-04-21,In-Store,Miami Store,Florida
524,860,2025-11-25,Online,Miami Store,Florida
525,1880,2024-05-11,In-Store,Houston Store,Texas
526,1277,2023-07-25,Online,Los Angeles Store,California
527,13,2024-03-01,Online,San Francisco Store,California
528,2347,2023-02-13,In-Store,San Francisco Store,California
529,1100,2024-08-27,In-Store,Miami Store,Florida
530,1075,2024-03-29,In-Store,San Francisco Store,California
531,787,2024-08-17,Online,Miami Store,Florida
532,149,2024-05-21,In-Store,Miami Store,Florida
533,1755,2025-03-04,Online,Miami Store,Florida
534,2170,2023-01-21,Online,San Francisco Store,California
535,1304,2024-09-11,Online,Miami Store,Florida
536,1180,2024-02-18,In-Store,Houston Store,Texas
537,2424,2025-12-30,In-Store,Los Angeles Store,California
538,82,2023-12-03,Online,Los Angeles Store,California
539,492,2025-06-28,Online,Miami Store,Florida
